Courier,Service_Category,Destination_Region,Weight_kg,Insured_Value_Rs,Rate_Rs
Pakistan Post,City to City,Punjab,1.12,100000,1482
Leopard,Overland,Islamabad,5.23,20000,808
Leopard,Economy,Balochistan,3.78,0,280
TCS,Same Day,Sindh,2.63,0,681
TCS,City to City,Islamabad,8.57,0,1315
Pakistan Post,City to City,Balochistan,3.05,0,508
Pakistan Post,City to City,Balochistan,7.36,0,820
TCS,Overland,Sindh,2.32,10000,526
Leopard,Overnight,Balochistan,1.27,50000,1098
TCS,City to City,Balochistan,4.67,100000,1996
Leopard,Overland,Pakhtunkhwa,8.27,10000,1008
Leopard,Overland,Pakhtunkhwa,1.0,0,227
TCS,Overnight,Islamabad,3.39,0,1011
M&P,Economy,Pakhtunkhwa,5.33,100000,1536
M&P,Overnight,Sindh,4.56,0,919
TCS,Economy,Sindh,4.83,0,383
M&P,Overnight,Islamabad,5.34,0,989
Leopard,Overnight,Islamabad,5.81,0,1018
M&P,Overland,Islamabad,0.63,100000,1345
Leopard,Overland,Balochistan,1.14,0,258
M&P,Economy,Sindh,11.68,0,647
TCS,Economy,Sindh,0.74,50000,777
Leopard,Overnight,Islamabad,2.44,20000,905
M&P,Overland,Balochistan,8.31,0,949
TCS,Overland,Sindh,0.53,0,233
Pakistan Post,City to City,Islamabad,16.18,0,1527
Pakistan Post,City to City,Sindh,0.67,50000,879
TCS,Local,Islamabad,0.71,20000,524
Pakistan Post,City to City,Balochistan,5.16,0,670
TCS,Local,Islamabad,10.62,0,794
Pakistan Post,City to City,Balochistan,6.1,0,764
M&P,Overland,Pakhtunkhwa,0.76,100000,1343
TCS,Overland,Balochistan,2.66,10000,624
M&P,Local,Sindh,0.96,0,260
Pakistan Post,City to City,Islamabad,1.03,100000,1486
TCS,Overnight,Sindh,12.0,10000,2054
Leopard,Overnight,Balochistan,3.8,0,823
Pakistan Post,Local,Sindh,2.56,10000,404
M&P,Overland,Pakhtunkhwa,1.16,0,283
M&P,Economy,Punjab,6.4,50000,1026
M&P,City to City,Islamabad,6.4,50000,1534
Pakistan Post,Local,Islamabad,5.51,0,388
Leopard,Overland,Islamabad,7.28,50000,1435
TCS,Economy,Punjab,3.9,0,368
Leopard,Overnight,Pakhtunkhwa,2.43,20000,914
TCS,Overland,Pakhtunkhwa,8.03,100000,2133
M&P,Overland,Balochistan,5.35,20000,931
Pakistan Post,City to City,Balochistan,1.82,10000,521
Pakistan Post,City to City,Sindh,2.33,0,427
M&P,Overland,Punjab,7.44,0,855
Pakistan Post,Local,Balochistan,2.23,50000,844
M&P,City to City,Islamabad,3.43,0,662
M&P,Overnight,Sindh,5.29,20000,1213
Pakistan Post,City to City,Pakhtunkhwa,3.54,0,539
Pakistan Post,City to City,Punjab,3.46,0,510
Leopard,Overland,Balochistan,5.66,10000,740
Leopard,Economy,Balochistan,1.9,0,197
Pakistan Post,Local,Pakhtunkhwa,0.69,0,209
Leopard,Overnight,Islamabad,1.42,50000,1218
Leopard,Economy,Sindh,1.19,0,173
TCS,Overland,Islamabad,13.77,10000,1933
TCS,City to City,Pakhtunkhwa,2.78,10000,800
M&P,City to City,Islamabad,6.96,50000,1592
TCS,Overnight,Punjab,8.97,0,1609
TCS,Overland,Sindh,8.53,100000,2247
Pakistan Post,Local,Balochistan,8.27,0,483
TCS,Overland,Sindh,0.58,0,256
Leopard,Overland,Islamabad,1.03,0,227
TCS,Overnight,Pakhtunkhwa,0.49,0,622
Leopard,Overnight,Islamabad,0.58,0,532
TCS,Economy,Sindh,0.23,100000,1321
M&P,Overland,Islamabad,6.56,0,810
M&P,Local,Sindh,2.46,0,328
M&P,Overland,Pakhtunkhwa,1.69,0,329
Leopard,Overland,Sindh,4.85,0,575
Leopard,Overnight,Punjab,4.23,100000,2052
Leopard,Economy,Balochistan,1.38,0,186
M&P,Same Day,Punjab,7.63,0,1094
Pakistan Post,City to City,Islamabad,0.39,0,304
Leopard,Overland,Pakhtunkhwa,1.38,0,278
M&P,Same Day,Sindh,0.79,0,452
TCS,Local,Islamabad,3.43,0,432
TCS,City to City,Balochistan,5.49,0,935
Leopard,Overland,Islamabad,0.45,0,189
M&P,Overnight,Punjab,0.3,50000,1089
M&P,Local,Islamabad,5.11,0,425
TCS,Overnight,Islamabad,5.0,0,1189
Pakistan Post,City to City,Balochistan,3.17,10000,603
M&P,Overnight,Punjab,5.08,0,978
Pakistan Post,Local,Punjab,5.33,0,389
Pakistan Post,Local,Sindh,2.24,0,272
Leopard,Overland,Balochistan,0.32,0,187
Pakistan Post,City to City,Balochistan,2.1,0,433
M&P,Local,Pakhtunkhwa,4.4,0,421
Pakistan Post,Local,Balochistan,1.87,0,253
TCS,Economy,Punjab,1.05,100000,1433
Pakistan Post,Local,Islamabad,2.62,10000,387
Pakistan Post,City to City,Islamabad,3.35,50000,1068
TCS,City to City,Sindh,7.93,0,1193
TCS,Local,Pakhtunkhwa,6.1,50000,1104
M&P,Same Day,Pakhtunkhwa,2.52,20000,835
M&P,Same Day,Balochistan,5.63,0,913
M&P,City to City,Punjab,7.3,50000,1602
Pakistan Post,Local,Islamabad,3.41,0,300
TCS,Overland,Islamabad,1.76,100000,1483
TCS,Economy,Pakhtunkhwa,1.15,0,215
Pakistan Post,City to City,Sindh,1.5,0,359
M&P,Overland,Balochistan,6.16,20000,980
Leopard,Overnight,Balochistan,0.5,100000,1685
TCS,City to City,Punjab,0.26,0,422
TCS,Local,Balochistan,2.23,0,360
Leopard,Overnight,Punjab,10.17,20000,1681
Leopard,Overnight,Sindh,0.8,0,510
M&P,Overnight,Islamabad,0.41,0,563
M&P,Same Day,Sindh,1.15,0,455
Leopard,Overnight,Punjab,0.57,0,494
Pakistan Post,City to City,Sindh,5.29,0,649
TCS,City to City,Punjab,1.91,20000,781
TCS,Economy,Sindh,0.55,0,186
M&P,Same Day,Sindh,4.76,10000,910
TCS,Overland,Punjab,1.75,0,380
Pakistan Post,Local,Punjab,4.7,10000,459
M&P,Overnight,Punjab,1.86,10000,802
M&P,Economy,Islamabad,0.66,20000,392
TCS,Economy,Sindh,4.33,10000,465
Pakistan Post,City to City,Punjab,1.58,20000,637
TCS,Economy,Sindh,6.48,50000,1005
Pakistan Post,City to City,Punjab,0.62,0,292
Pakistan Post,Local,Sindh,0.59,0,200
TCS,Economy,Punjab,8.36,10000,712
TCS,Overland,Sindh,1.96,20000,603
M&P,Same Day,Punjab,0.38,0,424
Pakistan Post,Local,Pakhtunkhwa,3.13,10000,417
Leopard,Economy,Punjab,15.57,0,725
M&P,Overland,Islamabad,0.18,50000,797
M&P,City to City,Balochistan,1.93,10000,597
Pakistan Post,Local,Islamabad,2.55,0,271
Leopard,Overland,Pakhtunkhwa,1.04,0,241
Pakistan Post,City to City,Islamabad,6.27,100000,1899
Pakistan Post,City to City,Punjab,3.36,20000,743
TCS,Overnight,Pakhtunkhwa,6.82,10000,1524
M&P,Economy,Sindh,1.55,50000,760
Pakistan Post,Local,Pakhtunkhwa,0.34,0,199
Pakistan Post,City to City,Islamabad,0.5,0,287
M&P,Local,Sindh,4.15,0,380
Leopard,Overland,Pakhtunkhwa,2.84,20000,625
M&P,Overnight,Islamabad,0.16,0,538
Pakistan Post,City to City,Balochistan,2.19,0,438
Pakistan Post,City to City,Balochistan,1.1,20000,547
Pakistan Post,Local,Balochistan,6.39,0,412
Leopard,Overland,Punjab,1.99,10000,453
Pakistan Post,City to City,Balochistan,2.06,20000,626
M&P,Same Day,Balochistan,4.85,0,795
TCS,Overnight,Islamabad,0.45,50000,1226
Pakistan Post,Local,Sindh,2.69,50000,801
Pakistan Post,City to City,Sindh,3.47,0,521
Leopard,Overnight,Punjab,4.05,0,866
M&P,Overnight,Sindh,1.9,0,685
Pakistan Post,Local,Sindh,1.7,10000,360
TCS,Overnight,Islamabad,0.52,50000,1233
Leopard,Economy,Sindh,5.75,10000,436
TCS,City to City,Islamabad,4.63,0,847
M&P,Economy,Islamabad,1.46,0,210
TCS,Local,Islamabad,0.35,0,303
Pakistan Post,City to City,Islamabad,0.71,0,319
Pakistan Post,City to City,Punjab,0.85,10000,453
M&P,City to City,Islamabad,0.48,50000,886
M&P,Local,Sindh,0.89,0,258
M&P,Overland,Pakhtunkhwa,0.48,0,217
Leopard,Overland,Pakhtunkhwa,4.83,100000,1798
TCS,Local,Pakhtunkhwa,15.82,10000,1132
Pakistan Post,City to City,Punjab,2.68,20000,711
Pakistan Post,City to City,Sindh,2.12,20000,635
TCS,Same Day,Sindh,1.69,0,630
TCS,Local,Islamabad,1.76,0,338
Leopard,Overnight,Punjab,3.83,50000,1358
TCS,Economy,Pakhtunkhwa,1.16,50000,828
M&P,Same Day,Sindh,0.68,10000,514
Pakistan Post,City to City,Punjab,0.42,50000,867
M&P,City to City,Pakhtunkhwa,3.17,50000,1194
Pakistan Post,Local,Sindh,0.26,0,198
Leopard,Economy,Punjab,3.89,0,286
Pakistan Post,City to City,Punjab,1.88,20000,608
Pakistan Post,Local,Balochistan,4.11,50000,946
Pakistan Post,City to City,Islamabad,1.5,0,383
Leopard,Economy,Islamabad,1.32,100000,1378
TCS,Same Day,Islamabad,9.15,0,1487
TCS,City to City,Balochistan,2.92,0,690
TCS,Local,Sindh,7.01,0,607
M&P,Local,Pakhtunkhwa,0.53,0,244
Leopard,Overland,Pakhtunkhwa,2.22,10000,455
Pakistan Post,City to City,Islamabad,4.1,0,610
M&P,Overnight,Pakhtunkhwa,3.1,20000,983
M&P,Overnight,Balochistan,2.03,100000,1841
Leopard,Economy,Punjab,12.47,0,615
M&P,Overnight,Balochistan,0.3,0,541
Pakistan Post,Local,Balochistan,6.4,0,409
TCS,Local,Balochistan,1.11,20000,535
M&P,Economy,Punjab,2.75,20000,497
TCS,Economy,Islamabad,4.55,50000,931
TCS,City to City,Punjab,1.27,0,474
Pakistan Post,City to City,Pakhtunkhwa,4.92,0,622
TCS,Overland,Balochistan,2.81,0,487
M&P,Same Day,Sindh,2.01,20000,747
Pakistan Post,City to City,Sindh,7.43,0,853
Leopard,Economy,Islamabad,1.96,0,217
M&P,Local,Sindh,0.55,0,257
M&P,Overland,Punjab,0.59,50000,781
TCS,City to City,Pakhtunkhwa,5.8,0,1034
Pakistan Post,Local,Sindh,0.13,0,204
Pakistan Post,Local,Balochistan,4.76,100000,1530
Pakistan Post,City to City,Islamabad,0.35,10000,412
Pakistan Post,City to City,Islamabad,1.25,0,341
TCS,Overnight,Pakhtunkhwa,1.23,0,693
TCS,Local,Pakhtunkhwa,5.74,0,570
M&P,City to City,Balochistan,19.13,100000,3248
Pakistan Post,Local,Balochistan,0.5,50000,753
TCS,Economy,Sindh,1.4,10000,351
M&P,Same Day,Punjab,10.31,20000,1655
M&P,Overland,Punjab,3.99,0,527
TCS,Overland,Balochistan,3.35,0,545
Leopard,Economy,Punjab,3.62,0,285
M&P,Overnight,Balochistan,1.01,0,630
Pakistan Post,Local,Pakhtunkhwa,7.88,0,475
Leopard,Overnight,Pakhtunkhwa,0.79,0,522
Pakistan Post,City to City,Balochistan,0.3,100000,1505
TCS,Same Day,Punjab,2.6,0,742
Pakistan Post,City to City,Sindh,2.68,100000,1583
TCS,Local,Sindh,9.13,50000,1298
Pakistan Post,City to City,Pakhtunkhwa,2.44,10000,539
M&P,Local,Islamabad,8.52,0,584
TCS,Same Day,Pakhtunkhwa,8.44,10000,1420
M&P,Same Day,Sindh,9.6,0,1237
Pakistan Post,City to City,Pakhtunkhwa,8.61,0,902
TCS,Overland,Islamabad,0.33,20000,495
Pakistan Post,City to City,Punjab,1.14,100000,1485
M&P,Overnight,Sindh,0.84,0,585
M&P,Overnight,Punjab,0.81,20000,794
TCS,Overnight,Pakhtunkhwa,1.4,0,731
Leopard,Economy,Sindh,1.76,0,193
Leopard,Overnight,Islamabad,7.42,50000,1726
Pakistan Post,Local,Sindh,0.28,0,213
TCS,City to City,Pakhtunkhwa,7.13,100000,2187
Leopard,Economy,Sindh,1.18,0,180
M&P,Economy,Pakhtunkhwa,6.14,100000,1542
M&P,Local,Pakhtunkhwa,3.34,20000,594
Pakistan Post,Local,Sindh,3.28,0,309
M&P,Same Day,Pakhtunkhwa,0.48,0,421
Pakistan Post,City to City,Sindh,1.36,0,362
TCS,Overnight,Balochistan,3.06,10000,1051
Pakistan Post,Local,Pakhtunkhwa,1.89,0,260
TCS,Local,Islamabad,0.25,20000,533
TCS,Local,Balochistan,0.86,0,308
Leopard,Economy,Pakhtunkhwa,9.38,0,508
M&P,Same Day,Sindh,0.89,0,458
M&P,Overland,Pakhtunkhwa,2.24,0,384
M&P,City to City,Punjab,1.91,0,495
M&P,Overnight,Pakhtunkhwa,0.97,0,617
TCS,Same Day,Punjab,0.81,10000,645
TCS,Overland,Punjab,0.31,50000,834
Leopard,Economy,Pakhtunkhwa,0.6,0,162
Leopard,Overnight,Pakhtunkhwa,13.34,100000,2893
TCS,Overland,Islamabad,2.03,0,407
Pakistan Post,City to City,Pakhtunkhwa,10.48,20000,1309
Pakistan Post,Local,Balochistan,1.44,10000,343
M&P,Local,Islamabad,3.66,20000,616
TCS,Overnight,Sindh,6.61,100000,2549
Leopard,Overland,Balochistan,6.62,0,700
Pakistan Post,Local,Sindh,2.02,50000,833
TCS,City to City,Sindh,2.68,20000,824
TCS,Overnight,Balochistan,2.04,0,821
TCS,Local,Pakhtunkhwa,1.24,0,313
TCS,Overland,Punjab,4.14,100000,1767
M&P,City to City,Islamabad,0.19,50000,922
Leopard,Economy,Islamabad,0.22,0,147
Leopard,Overnight,Balochistan,3.24,50000,1330
M&P,Same Day,Punjab,9.05,50000,1792
M&P,Local,Balochistan,4.68,0,435
Leopard,Overnight,Punjab,1.17,100000,1746
TCS,Overland,Pakhtunkhwa,1.51,20000,584
TCS,Overland,Sindh,3.63,50000,1180
M&P,Same Day,Sindh,2.58,0,613
M&P,Overland,Sindh,1.59,0,298
Pakistan Post,Local,Balochistan,2.35,0,278
TCS,Local,Balochistan,3.92,50000,1074
Pakistan Post,City to City,Islamabad,3.5,10000,647
TCS,Overnight,Punjab,4.95,0,1134
Pakistan Post,City to City,Punjab,0.92,0,333
Leopard,Overnight,Balochistan,0.78,0,508
M&P,Local,Sindh,1.51,0,274
Pakistan Post,City to City,Balochistan,8.9,100000,2073
Leopard,Overland,Sindh,11.36,100000,2239
TCS,Local,Balochistan,0.29,0,300
Leopard,Economy,Pakhtunkhwa,1.43,0,180
Leopard,Overnight,Islamabad,5.38,100000,2063
Pakistan Post,Local,Punjab,0.66,0,217
TCS,Same Day,Punjab,0.95,0,528
M&P,Local,Pakhtunkhwa,1.81,20000,534
M&P,Local,Pakhtunkhwa,3.15,0,361
TCS,Overnight,Punjab,7.71,100000,2712
Pakistan Post,City to City,Islamabad,0.62,0,305
Leopard,Overnight,Balochistan,0.7,10000,614
M&P,Local,Sindh,3.18,10000,455
Pakistan Post,Local,Balochistan,4.96,0,351
Pakistan Post,City to City,Islamabad,0.49,100000,1428
Pakistan Post,City to City,Islamabad,0.11,20000,507
TCS,Overland,Balochistan,3.89,50000,1185
Leopard,Overland,Balochistan,0.2,0,184
Leopard,Overnight,Islamabad,4.16,0,819
TCS,Same Day,Balochistan,4.49,0,943
M&P,Local,Sindh,0.35,0,237
Pakistan Post,City to City,Islamabad,1.87,0,405
TCS,Overnight,Islamabad,15.17,0,2360
M&P,Overnight,Islamabad,4.97,20000,1200
M&P,Local,Pakhtunkhwa,7.63,20000,740
M&P,Local,Punjab,5.31,10000,585
TCS,Overland,Islamabad,0.44,10000,376
Leopard,Overland,Punjab,3.64,0,469
TCS,Overland,Balochistan,7.46,50000,1597
TCS,Overnight,Balochistan,1.08,20000,933
M&P,Local,Balochistan,4.68,50000,965
Leopard,Economy,Balochistan,2.14,50000,816
TCS,City to City,Islamabad,8.48,100000,2382
M&P,Same Day,Balochistan,11.98,0,1588
Pakistan Post,City to City,Balochistan,4.08,10000,710
Pakistan Post,Local,Balochistan,2.66,100000,1410
Pakistan Post,City to City,Sindh,11.4,20000,1397
Leopard,Overnight,Sindh,0.48,100000,1680
TCS,Overnight,Punjab,6.31,0,1255
TCS,City to City,Pakhtunkhwa,1.97,50000,1141
Pakistan Post,City to City,Islamabad,1.64,0,382
TCS,Overnight,Islamabad,2.44,50000,1500
Pakistan Post,City to City,Punjab,2.92,10000,579
Pakistan Post,Local,Islamabad,1.5,0,243
M&P,Overnight,Punjab,0.99,50000,1130
M&P,Economy,Balochistan,7.23,100000,1532
Pakistan Post,City to City,Pakhtunkhwa,1.9,100000,1564
M&P,City to City,Balochistan,3.51,0,629
Leopard,Overnight,Sindh,6.38,100000,2080
Leopard,Economy,Sindh,1.95,0,213
TCS,Overland,Sindh,0.29,0,246
M&P,Economy,Balochistan,0.25,20000,398
TCS,Same Day,Pakhtunkhwa,2.17,0,675
Leopard,Economy,Sindh,3.87,0,268
TCS,Overnight,Sindh,3.04,20000,1194
Leopard,Overland,Sindh,2.65,50000,959
Pakistan Post,Local,Punjab,0.73,10000,342
M&P,Economy,Punjab,1.17,50000,792
TCS,Economy,Islamabad,3.99,0,383
M&P,Same Day,Punjab,0.5,0,433
TCS,Same Day,Islamabad,1.96,20000,890
Leopard,Overland,Pakhtunkhwa,2.8,20000,599
M&P,Overland,Pakhtunkhwa,1.44,100000,1430
TCS,Same Day,Pakhtunkhwa,1.86,20000,906
M&P,Local,Balochistan,1.81,10000,418
M&P,Economy,Islamabad,1.66,20000,429
M&P,Overnight,Islamabad,0.24,50000,1157
Pakistan Post,Local,Pakhtunkhwa,5.42,100000,1527
TCS,Local,Islamabad,0.42,20000,520
TCS,City to City,Balochistan,3.76,0,736
TCS,Economy,Islamabad,0.18,20000,427
Leopard,Economy,Pakhtunkhwa,1.66,50000,744
Pakistan Post,Local,Islamabad,1.23,0,231
Pakistan Post,City to City,Sindh,1.42,0,357
M&P,Economy,Sindh,5.61,50000,910
Pakistan Post,City to City,Balochistan,1.87,50000,985
Leopard,Overland,Balochistan,2.11,20000,583
TCS,Same Day,Pakhtunkhwa,4.69,50000,1474
TCS,Local,Sindh,0.63,0,298
Pakistan Post,Local,Sindh,0.65,0,200
Leopard,Overnight,Punjab,0.65,0,522
Leopard,Overland,Sindh,3.43,10000,544
TCS,City to City,Sindh,3.92,0,768
Pakistan Post,City to City,Punjab,7.94,0,850
Pakistan Post,City to City,Pakhtunkhwa,11.29,100000,2387
TCS,Overland,Islamabad,0.45,10000,359
Pakistan Post,Local,Punjab,9.99,0,533
Leopard,Economy,Punjab,0.72,0,158
TCS,Economy,Pakhtunkhwa,0.2,0,201
Pakistan Post,City to City,Punjab,3.01,100000,1574
Leopard,Economy,Punjab,1.13,0,177
Leopard,Economy,Pakhtunkhwa,1.14,100000,1328
Leopard,Economy,Balochistan,1.67,20000,409
Leopard,Economy,Islamabad,4.12,0,278
Pakistan Post,City to City,Sindh,4.56,0,628
Pakistan Post,Local,Islamabad,0.21,20000,448
M&P,Overnight,Punjab,1.45,10000,740
M&P,Local,Balochistan,0.45,0,248
Leopard,Economy,Islamabad,0.9,100000,1348
M&P,Local,Islamabad,2.31,100000,1499
Pakistan Post,City to City,Pakhtunkhwa,0.99,50000,926
TCS,Overnight,Balochistan,0.12,20000,840
Leopard,Overland,Pakhtunkhwa,1.49,50000,859
Leopard,Economy,Pakhtunkhwa,2.33,100000,1330
M&P,Local,Punjab,1.1,0,282
Leopard,Overland,Punjab,10.55,100000,2146
M&P,Overland,Balochistan,6.09,0,745
TCS,Economy,Sindh,1.97,100000,1453
Pakistan Post,Local,Islamabad,1.35,10000,338
TCS,Overnight,Balochistan,1.17,10000,848
Leopard,Overland,Balochistan,1.63,10000,410
Leopard,Overland,Pakhtunkhwa,1.17,0,245
Pakistan Post,City to City,Balochistan,3.69,100000,1647
M&P,Economy,Islamabad,1.57,20000,464
M&P,Local,Balochistan,1.11,20000,504
Leopard,Economy,Sindh,1.08,0,163
Leopard,Overland,Islamabad,6.07,20000,935
Leopard,Overland,Punjab,1.59,10000,387
TCS,Overnight,Sindh,9.57,0,1620
Pakistan Post,City to City,Islamabad,0.23,50000,900
M&P,Overland,Pakhtunkhwa,4.37,100000,1812
Leopard,Overnight,Islamabad,2.84,10000,870
Pakistan Post,City to City,Punjab,0.24,10000,411
TCS,Local,Islamabad,1.78,0,353
Pakistan Post,Local,Sindh,10.21,0,526
Leopard,Economy,Islamabad,3.6,0,283
Pakistan Post,Local,Sindh,3.27,0,283
Leopard,Overland,Punjab,4.58,20000,816
TCS,Same Day,Sindh,0.61,50000,1024
M&P,City to City,Sindh,5.71,20000,1079
TCS,City to City,Islamabad,1.57,10000,674
Leopard,Overnight,Pakhtunkhwa,2.61,20000,956
Leopard,Overland,Islamabad,2.22,50000,940
Pakistan Post,City to City,Pakhtunkhwa,10.42,100000,2339
Leopard,Economy,Balochistan,0.43,20000,396
Leopard,Overnight,Pakhtunkhwa,1.36,0,610
Pakistan Post,City to City,Sindh,0.83,20000,508
Pakistan Post,City to City,Balochistan,0.56,0,284
M&P,Economy,Balochistan,10.11,0,550
TCS,City to City,Punjab,0.36,0,413
M&P,Economy,Sindh,1.16,0,186
M&P,Economy,Balochistan,2.12,20000,466
Leopard,Overland,Balochistan,2.1,0,327
Leopard,Overnight,Sindh,4.07,10000,957
M&P,Overland,Punjab,0.81,20000,486
TCS,City to City,Islamabad,1.37,0,523
M&P,City to City,Pakhtunkhwa,7.02,50000,1623
TCS,Economy,Pakhtunkhwa,0.33,100000,1352
TCS,Local,Sindh,0.1,20000,532
M&P,City to City,Islamabad,0.64,50000,941
M&P,Overnight,Balochistan,2.68,20000,1033
Pakistan Post,City to City,Pakhtunkhwa,0.35,20000,521
Leopard,Overland,Balochistan,16.43,10000,1754
Pakistan Post,City to City,Pakhtunkhwa,1.44,10000,485
M&P,Overland,Punjab,2.87,0,440
M&P,Overnight,Punjab,0.61,0,588
M&P,Same Day,Sindh,1.1,100000,1592
M&P,Overland,Pakhtunkhwa,0.3,100000,1405
M&P,Same Day,Islamabad,1.28,0,518
M&P,Same Day,Islamabad,1.99,0,559
TCS,Economy,Balochistan,0.85,10000,332
Pakistan Post,Local,Balochistan,0.3,50000,779
Pakistan Post,Local,Punjab,0.99,0,231
Leopard,Overnight,Sindh,10.86,0,1360
TCS,Economy,Sindh,1.25,10000,349
M&P,Local,Pakhtunkhwa,4.36,0,427
TCS,Local,Pakhtunkhwa,11.72,0,813
TCS,Overland,Pakhtunkhwa,0.4,50000,823
M&P,Same Day,Punjab,2.28,0,562
M&P,Economy,Pakhtunkhwa,0.3,50000,718
TCS,Economy,Sindh,3.28,0,328
TCS,Economy,Punjab,1.83,0,248
Pakistan Post,City to City,Pakhtunkhwa,2.85,100000,1556
M&P,Same Day,Balochistan,1.96,100000,1666
Pakistan Post,Local,Punjab,0.32,0,210
Leopard,Overnight,Sindh,2.02,0,619
TCS,Overland,Islamabad,4.8,0,752
Pakistan Post,City to City,Sindh,4.61,0,616
Pakistan Post,Local,Sindh,3.02,0,288
Pakistan Post,City to City,Islamabad,4.23,0,572
TCS,City to City,Islamabad,5.98,20000,1289
Pakistan Post,Local,Islamabad,5.38,0,397
M&P,Same Day,Punjab,0.1,0,431
M&P,Economy,Pakhtunkhwa,0.31,0,171
Leopard,Overnight,Balochistan,0.43,0,501
M&P,Overnight,Pakhtunkhwa,0.48,100000,1713
Pakistan Post,City to City,Islamabad,2.21,10000,541
Pakistan Post,City to City,Sindh,1.84,100000,1557
Leopard,Economy,Balochistan,2.34,0,211
M&P,Overnight,Pakhtunkhwa,0.3,100000,1627
Leopard,Overland,Sindh,2.95,20000,632
Pakistan Post,City to City,Punjab,6.44,0,779
Leopard,Overland,Sindh,1.1,20000,472
Pakistan Post,Local,Sindh,0.37,50000,766
Leopard,Overland,Pakhtunkhwa,0.76,20000,425
Leopard,Economy,Balochistan,4.48,10000,407
Leopard,Overnight,Punjab,0.24,50000,1049
Pakistan Post,City to City,Balochistan,4.97,0,639
TCS,Same Day,Pakhtunkhwa,0.16,10000,624
Pakistan Post,Local,Islamabad,0.88,0,216
TCS,City to City,Balochistan,2.5,20000,847
Pakistan Post,Local,Punjab,4.71,10000,477
Leopard,Economy,Islamabad,1.23,0,185
TCS,Local,Sindh,8.77,100000,1739
Leopard,Overnight,Pakhtunkhwa,2.56,0,716
M&P,City to City,Punjab,0.12,100000,1492
Leopard,Overnight,Islamabad,1.33,0,598
Leopard,Overnight,Punjab,5.65,100000,2204
TCS,City to City,Sindh,1.32,50000,1044
Pakistan Post,City to City,Sindh,2.27,10000,510
TCS,Economy,Balochistan,1.22,0,234
Leopard,Overland,Islamabad,4.08,0,492
Pakistan Post,Local,Balochistan,4.46,50000,917
M&P,Economy,Punjab,2.54,0,243
TCS,Overland,Pakhtunkhwa,0.57,20000,480
Pakistan Post,Local,Sindh,0.56,0,199
Leopard,Overnight,Balochistan,0.62,0,500
Leopard,Economy,Pakhtunkhwa,5.11,50000,917
Leopard,Economy,Islamabad,3.73,10000,383
Leopard,Overnight,Sindh,1.95,0,627
Pakistan Post,City to City,Sindh,3.74,50000,1115
TCS,Economy,Balochistan,1.86,0,253
M&P,Overnight,Pakhtunkhwa,2.91,0,805
Leopard,Overland,Pakhtunkhwa,1.92,0,308
Leopard,Overnight,Balochistan,2.32,0,694
TCS,Overland,Islamabad,1.61,20000,630
M&P,Same Day,Pakhtunkhwa,11.52,0,1492
Leopard,Overnight,Balochistan,14.07,100000,2918
Pakistan Post,City to City,Punjab,1.89,20000,603
Leopard,Economy,Balochistan,1.67,0,187
Leopard,Overland,Islamabad,1.92,0,316
TCS,Overland,Sindh,4.88,100000,1878
Leopard,Overland,Islamabad,4.45,50000,1074
TCS,Overnight,Sindh,2.93,0,925
M&P,Economy,Islamabad,0.5,0,172
M&P,Economy,Sindh,7.51,50000,975
M&P,Same Day,Punjab,0.57,20000,653
TCS,City to City,Balochistan,3.44,20000,973
TCS,Overnight,Islamabad,0.2,100000,1781
Pakistan Post,City to City,Pakhtunkhwa,0.6,20000,539
TCS,Economy,Pakhtunkhwa,4.92,10000,535
TCS,Same Day,Sindh,4.86,0,967
M&P,Overland,Balochistan,0.94,0,247
Pakistan Post,Local,Islamabad,5.1,0,366
Leopard,Economy,Pakhtunkhwa,9.27,0,479
M&P,City to City,Punjab,0.21,0,343
Leopard,Economy,Punjab,2.97,0,237
M&P,Overnight,Islamabad,5.61,0,1008
TCS,City to City,Punjab,4.14,50000,1356
M&P,City to City,Balochistan,2.89,10000,699
Leopard,Overland,Islamabad,12.95,0,1299
TCS,Same Day,Balochistan,2.84,0,732
TCS,Same Day,Sindh,5.6,20000,1228
TCS,Same Day,Punjab,3.58,20000,1103
Leopard,Economy,Punjab,0.48,20000,373
Leopard,Overnight,Islamabad,5.42,0,969
M&P,City to City,Balochistan,0.62,100000,1567
Leopard,Overland,Balochistan,1.56,10000,390
Leopard,Economy,Islamabad,2.25,20000,431
Leopard,Economy,Punjab,1.04,0,175
Pakistan Post,City to City,Islamabad,1.41,50000,978
TCS,Local,Pakhtunkhwa,1.8,0,338
Leopard,Economy,Islamabad,0.6,0,164
M&P,Same Day,Sindh,5.97,20000,1172
M&P,Same Day,Islamabad,0.61,100000,1585
Pakistan Post,City to City,Balochistan,5.82,0,751
TCS,Same Day,Balochistan,4.9,0,942
Pakistan Post,City to City,Pakhtunkhwa,0.42,0,301
TCS,Same Day,Balochistan,4.0,0,911
Pakistan Post,City to City,Pakhtunkhwa,0.38,0,277
Leopard,Overland,Balochistan,3.79,0,501
M&P,City to City,Sindh,1.65,50000,1027
Pakistan Post,Local,Pakhtunkhwa,0.14,50000,808
Leopard,Economy,Sindh,4.36,10000,417
Pakistan Post,City to City,Pakhtunkhwa,2.23,0,432
M&P,Overnight,Balochistan,6.25,0,1153
